timestamp,endpoint,latency_ms,status,loss_ratio
2025-11-25 21:56:05.217470,mission-progress,889.3351739998252,success,0.0
2025-11-25 21:56:06.245965,mission-progress,740.081759000077,success,0.0
2025-11-25 21:56:07.288582,mission-progress,223.0585530001008,success,0.0
2025-11-25 21:56:09.343598,mission-progress,1012.0518220001031,success,0.0
2025-11-25 21:56:10.405503,mission-progress,422.35206799978187,success,0.0
2025-11-25 21:56:12.473142,mission-progress,39.95847299984234,success,0.0
2025-11-25 21:56:13.504973,mission-progress,415.6107220001104,success,0.0
2025-11-25 21:56:14.532181,mission-progress,42.67751799989128,success,0.0
2025-11-25 21:56:15.571405,mission-progress,377.1494870002243,success,0.0
2025-11-25 21:56:16.609392,mission-progress,56.82510099995852,success,0.0
2025-11-25 21:56:17.637438,mission-progress,477.6409420001073,success,0.0
2025-11-25 21:56:18.667557,mission-progress,61.26755100012815,success,0.0
2025-11-25 21:56:19.707818,mission-progress,446.71509399995557,success,0.0
2025-11-25 21:56:20.736178,mission-progress,63.20936900010565,success,0.0
2025-11-25 21:56:21.764411,mission-progress,409.3928799998139,success,0.0
2025-11-25 21:56:22.792701,mission-progress,58.205187000112346,success,0.0
2025-11-25 21:56:23.832297,mission-progress,414.8562589998619,success,0.0
2025-11-25 21:56:24.858786,mission-progress,102.00268400012646,success,0.0
