timestamp,lat,lon,alt,speed,heading,battery,mission_current,mission_total
1185954000,16.0664246,108.160526,2.056,0.02613167092204094,17,50,4,5
1186218000,16.0664246,108.1605262,2.083,0.02613167092204094,17,50,4,5
1186218000,16.0664246,108.1605262,2.083,0.02613167092204094,17,50,4,5
1187406000,16.0664245,108.1605257,2.087,0.02613167092204094,17,50,4,5
1187736000,16.0664244,108.1605263,2.079,0.02613167092204094,17,50,4,5
1188396000,16.0664242,108.1605261,2.108,0.02613167092204094,17,50,4,5
1188528000,16.0664246,108.1605261,2.126,0.02613167092204094,17,50,4,5
1188528000,16.0664246,108.1605261,2.126,0.03596685826778412,17,50,4,5
1188528000,16.0664246,108.1605261,2.126,0.03596685826778412,17,50,4,5
1190344000,16.0664243,108.160526,1.969,0.03596685826778412,17,50,4,5
1190574000,16.0664246,108.1605257,1.998,0.03596685826778412,17,50,4,5
1191300000,16.0664244,108.1605262,2.069,0.03596685826778412,17,50,4,5
1191466000,16.0664242,108.1605261,2.081,0.03596685826778412,17,50,4,5
1191466000,16.0664242,108.1605261,2.081,0.03596685826778412,17,50,4,5
1191466000,16.0664242,108.1605261,2.081,0.03596685826778412,17,50,4,5
1193280000,16.0664246,108.1605262,2.062,0.013859055936336517,17,50,4,5
1193610000,16.066424,108.1605262,2.039,0.013859055936336517,17,50,4,5
1194238000,16.0664244,108.1605259,2.054,0.013859055936336517,17,50,4,5
1194600000,16.0664247,108.1605259,2.024,0.013859055936336517,17,50,4,5
1195228000,16.0664244,108.1605264,2.03,0.04211458936333656,17,50,4,5
1195656000,16.0664247,108.1605261,2.064,0.04211458936333656,17,50,4,5
1196184000,16.0664247,108.160526,2.044,0.04211458936333656,17,50,4,5
1196614000,16.0664247,108.1605259,2.047,0.04211458936333656,17,50,4,5
1197174000,16.0664246,108.1605259,2.029,0.04211539030075073,17,50,4,5
1197570000,16.0664244,108.1605259,2.062,0.04211539030075073,17,50,4,5
1198132000,16.0664246,108.1605262,1.993,0.04211539030075073,17,50,4,5
1198594000,16.0664246,108.1605259,2.009,0.04211539030075073,17,50,4,5
1199122000,16.0664248,108.1605258,2.027,0.024824785068631172,17,50,4,5
1199584000,16.0664246,108.1605259,2.078,0.024824785068631172,17,50,4,5
1200078000,16.0664247,108.1605263,2.035,0.024824785068631172,17,50,4,5
1200574000,16.0664245,108.1605263,2.058,0.024824785068631172,17,50,4,5
1201068000,16.0664246,108.1605262,2.031,0.030716998502612114,17,50,4,5
1201564000,16.0664248,108.1605262,1.997,0.030716998502612114,17,50,4,5
1201662000,16.0664249,108.1605264,2.0,0.030716998502612114,17,50,4,5
1202520000,16.0664243,108.1605258,2.059,0.030716998502612114,17,50,4,5
1203016000,16.0664243,108.1605259,2.031,0.02368258498609066,17,50,4,5
1203510000,16.0664241,108.1605261,2.091,0.02368258498609066,17,50,4,5
1203676000,16.0664245,108.1605261,2.088,0.02368258498609066,17,50,4,5
1204500000,16.0664244,108.160526,2.086,0.02368258498609066,17,50,4,5
1204996000,16.0664243,108.1605264,2.024,0.017467239871621132,17,50,4,5
1205458000,16.0664247,108.1605262,2.054,0.017467239871621132,17,50,4,5
